Plot,AGB_tC_ha,BGB_tC_ha,Saplings_tC_ha,Litter_tC_ha,Standing_Dead_tC_ha,Lying_Dead_tC_ha,Soil_tC_ha
230.3,230.2918677,54.11858892,1.750704374,0,0,5.238385063,
186.4,186.3633327,43.79538317,2.188380468,0,4.758518519,13.24608551,
316.2,316.1918239,74.30507861,4.376760935,0,0,6.612264839,
186.3,186.3213474,43.78551664,1.750704374,2.432799952,0,0.838593761,
170,169.9532375,39.93901081,0.875352187,0,1.544367496,5.275917318,
113.3,113.3034853,26.62631905,0.437676094,0,0,0,
240.9,240.9014569,56.61184236,2.626056561,0,4.597948554,0.291461755,
240.9,240.9246838,56.6173007,2.626056561,2.525078271,0,4.38401659,
308,308.0145619,72.38342205,4.376760935,0,0.093576389,11.2460441,
291.5,291.4823058,68.49834187,2.188380468,0,0,12.40362533,
308,308.0098725,72.38232004,2.188380468,0,1.540509259,0.980483512,
262.1,262.1310508,61.60079694,4.814437029,3.452592892,0.3773,3.145701383,
343.7,343.6849495,80.76596314,3.063732655,0,10.30070237,8.164029429,
194.9,194.9147941,45.80497662,3.501408748,0,6.818035247,11.18670373,
337.7,337.7098163,79.36180684,3.063732655,0,0,1.567599137,
342.9,342.8716045,80.57482706,4.376760935,2.579446622,0,0,
313.8,313.7580007,73.73313017,2.626056561,0,0,1.398630892,
321.9,321.9412738,75.65619934,4.376760935,0,0,0,
367.5,367.5216046,86.36757708,4.814437029,0,3.192311719,0,
358,358.0249698,84.13586791,1.313028281,3.289474138,0,9.173797291,
159.8,159.76604,37.54501939,1.750704374,0,0,14.25238729,
220.9,220.918211,51.91577959,0.875352187,0,2.587928241,0,
175.2,175.2142016,41.17533738,1.750704374,0,0,1.029831534,
222,222.0184451,52.17433461,9.628874057,3.422310411,1.861979167,5.520017309,
133,132.9867583,31.25188819,2.188380468,0,15.51667157,28.63368457,
165.4,165.4097552,38.87129248,2.626056561,0,0,0,
217.5,217.4848518,51.10894018,4.814437029,0,0.916666667,11.2296365,
223.6,223.5933989,52.54444874,14.00563499,2.792666667,0,4.227580276,
224.7,224.6621756,52.79561127,5.689789216,0,0,3.583514567,
119.1,119.0889515,27.98590361,2.188380468,0,0,6.209174774,
256.8,256.8227273,60.35334092,4.376760935,0,0,4.642029639,
260.5,260.4930355,61.21586334,3.501408748,3.206341357,2.466394558,3.953859135,
217.5,217.5182086,51.11677903,2.188380468,0,7.930305952,15.3516774,
261.4,261.4152321,61.43257954,7.002817496,0,2.5315125,0.60818908,
297.8,297.8299494,69.99003812,7.878169683,0,2.572050096,12.98608559,
183,183.0424095,43.01496624,2.626056561,3.513623188,0,0.947235282,
115.9,115.896624,27.23570664,3.063732655,0,0,0.991371536,
149.2,149.2410328,35.07164272,3.939084842,0,0,0,
191,191.0340858,44.89301016,3.501408748,0,10.70095013,1.373522002,
311.6,311.6235032,73.23152326,4.376760935,3.14868267,9.144534974,18.02281736,
216.5,216.5254953,50.88349139,5.252113122,0,2.796345685,7.350946127,
273.7,273.6710243,64.31269071,1.313028281,0,15.31701735,6.726276658,
224.1,224.0995369,52.66339118,3.063732655,0,0,3.288114223,
70.6,70.56715746,16.583282,2.626056561,8.654079755,1.24609375,0,
297.7,297.6733951,69.95324785,3.501408748,0,0,0,
191,191.0301112,44.89207613,3.939084842,0,0,0,
221.7,221.7148292,52.10298486,1.313028281,0,0,0,
171.3,171.3040785,40.25645844,8.75352187,4.996533813,5.496620961,13.5113447,
219.3,219.3020051,51.53597121,1.750704374,0,0,12.89351857,
